run,subrun,event,col_wire,col_time,ind_wire,ind_time
8560,282,12434,23,1021,27,1013
8560,285,12560,32,1038,16,1021
8560,291,12792,31,929,17,911
8560,296,13037,31,1251,18,1215
8560,298,13095,32,873,20,863
8560,298,13110,36,1032,13,1013
8560,298,13119,25,1242,24,1212
8560,299,13156,41,994,28,1015
8560,306,13527,31,1145,17,1114
8560,308,13590,26,997,24,979
8560,311,13706,21,1035,27,995
8560,322,14153,29,1008,18,980
8560,324,14259,28,1248,21,1221
8560,336,14684,29,1466,21,1447
8560,340,14843,36,1113,13,1090
8560,342,14931,21,1369,28,1352
8560,345,15044,21,1607,26,1577
8560,345,15064,26,1017,30,1019
8560,355,15387,29,1294,20,1281
8560,364,15701,35,1409,13,1380
8560,365,15736,25,1380,23,1339
8560,370,15898,21,1399,28,1375
8560,373,15990,30,1097,18,1071
8560,374,16034,132,2406,113,2363
8560,380,16241,35,986,13,954
8560,387,16469,32,1265,18,1245
8560,399,16873,25,1026,26,1005
8560,401,16933,45,936,28,961
8560,404,17019,32,1211,16,1171
8560,407,17109,26,1571,25,1544
8560,420,17367,18,1082,31,1045
8560,421,17408,24,1388,25,1376
8560,425,17502,22,1291,28,1273
8560,436,17823,21,1205,27,1183
8560,436,17826,35,1312,13,1285
8560,444,18071,35,1657,13,1637
8560,451,18275,16,1217,33,1201
8560,451,18282,34,1001,15,978
8560,454,18373,34,1399,13,1376
8560,455,18409,35,1314,13,1294
8560,456,18440,19,1089,30,1067
8560,457,18450,20,1166,28,1141
8560,458,18491,37,1172,20,1175
8560,458,18496,20,1383,28,1370
8560,460,18570,26,1138,22,1100
8560,461,18619,29,1121,19,1088
8560,472,18967,24,1255,26,1235
8560,476,19075,35,1047,15,1033
8560,478,19157,26,1379,23,1345
8561,4,179,24,1248,26,1230
8561,13,438,34,1241,13,1225
8561,23,744,25,1133,24,1103
8561,38,1151,31,1531,17,1500
8561,40,1223,119,877,15,1099
8561,42,1304,29,1176,19,1147
8561,43,1318,35,1423,13,1404
8561,47,1440,25,1448,26,1434
8561,50,1517,37,870,13,852
8561,50,1528,28,1372,21,1350
8561,58,1866,22,909,25,889
8561,58,1867,39,858,20,883
8561,58,1885,28,1242,20,1211
8561,62,2069,26,1544,23,1518
8561,64,2125,30,1059,20,1039
8561,70,2410,31,1007,18,986
8561,71,2454,34,1007,14,979
8561,90,2742,35,1032,13,1013
8561,94,2870,19,1143,30,1122
8561,108,3359,15,1650,33,1624
8561,110,3415,22,1296,26,1276
8561,117,3647,20,1384,52,1320
8561,123,3858,35,1153,13,1135
8561,133,4218,24,1212,24,1185
8561,135,4311,90,829,29,954
8561,138,4419,16,1119,33,1097
8561,138,4423,34,1298,13,1267
8561,139,4450,34,1515,14,1478
8561,148,4721,21,1034,29,1015
8561,154,4923,24,1374,24,1326
8561,158,5074,35,1299,13,1288
8561,160,5130,21,1653,27,1615
8561,162,5190,27,1048,23,1024
8561,177,5704,23,888,25,871
8561,180,5800,28,1328,21,1311
8561,193,6201,33,1351,15,1323
8561,194,6257,30,1003,26,1003
8561,197,6336,27,1271,22,1244
8561,197,6340,25,1194,24,1158
8561,206,6631,36,1281,13,1255
8561,210,6772,26,1533,24,1514
8561,210,6781,31,902,28,900
8561,210,6794,26,1269,23,1246
8561,212,6861,29,1476,20,1456
8561,212,6862,17,1251,31,1216
8561,215,6996,58,877,16,928
8561,228,7473,30,986,18,967
8561,230,7559,80,983,27,1107
8561,231,7589,28,1227,21,1201
8561,239,7890,32,1250,18,1230
8561,245,8102,36,1469,13,1437
8562,33,1327,41,882,22,901
8562,35,1425,32,1336,18,1314
8562,38,1578,32,996,18,976
8562,42,1747,17,1156,32,1128
8562,43,1765,21,978,27,961
8562,47,1979,23,971,24,938
8562,47,1995,29,1611,20,1580
8562,51,2205,24,1218,25,1196
8562,52,2235,29,1309,20,1283
8562,52,2242,17,1159,31,1143
8562,53,2275,21,1593,27,1569
8562,58,2522,35,1001,13,989
8562,62,2776,31,1286,18,1268
8562,63,2831,26,1176,23,1148
8562,63,2837,22,1003,26,989
8562,64,2859,33,1399,13,1367
8562,70,3156,25,1273,23,1242
8562,78,3533,28,1011,34,1018
8562,87,3923,24,1175,24,1148
8562,93,4167,32,1256,18,1236
8562,98,4380,28,1443,21,1419
8562,98,4392,25,1131,24,1112
8562,103,4633,33,1548,15,1529
8562,106,4795,35,1428,13,1401
8562,113,5145,26,1307,23,1288
8562,113,5157,18,926,31,898
8562,114,5193,25,1231,25,1216
8562,114,5210,32,1263,18,1247
