,run,subrun,event
320,8658,114,9729
321,8689,197,18138
322,8689,199,18296
323,8689,316,28961
324,8658,202,16244
325,8658,389,29860
326,9482,166,14103
327,9473,533,45321
328,9483,84,5628
329,9473,415,35514
330,9473,416,35601
331,9473,437,37637
332,9473,508,43633
333,9473,554,46962
334,9483,29,1870
335,9484,15,997
336,9484,108,6603
337,9473,109,9096
338,9473,248,21334
339,9473,365,31173
340,9473,428,36751
341,9554,96,6692
342,9554,169,11801
343,9555,50,3698
344,9562,45,3528
345,9552,81,6025
346,9555,41,3036
347,9554,176,12252
348,9562,80,6368
349,8595,51,4849
350,8595,112,10326
351,8595,163,14957
352,8677,49,3029
353,8613,66,4923
354,8613,141,9826
355,8629,85,6590
356,8629,101,7938
357,8629,140,10874
358,8613,3,185
359,8679,348,31449
360,8723,181,25776
361,8638,443,48090
362,8667,291,23698
363,8684,63,7585
364,9481,233,18039
365,9481,425,34487
366,8740,262,25984
367,8679,148,11882
368,8723,24,3708
369,8723,92,13588
370,9509,37,2574
371,8723,333,46652
372,9493,98,7282
373,9509,65,5439
374,9509,300,28581
375,9513,101,10220
376,9511,158,14191
377,8686,27,2723
378,8686,124,12772
379,8686,237,24854
380,8656,12,1033
381,8656,80,7353
382,9495,445,31007
383,9495,251,17623
384,9495,253,17787
385,9495,435,30298
386,9495,152,11851
387,9495,229,15934
388,9495,250,17535
389,9495,23,1962
390,9495,51,4193
391,9495,100,7948
392,9495,136,10596
393,9498,149,9203
394,9498,367,26945
395,9498,390,29233
396,9495,420,29328
397,9498,23,1465
398,9498,305,20762
399,9498,317,21936
400,9498,136,8280
401,9506,42,4170
402,9506,79,7995
403,9510,107,9051
404,8597,131,11807
405,8597,240,21438
406,8634,309,19440
407,8634,12,1168
408,8634,116,6078
409,8557,172,8021
410,8634,3,266
411,8557,155,7235
412,8557,111,5275
413,8724,148,20674
414,8678,183,8904
415,9476,152,14135
416,9474,189,16082
417,9474,241,20595
418,9474,235,20105
419,9474,456,38883
420,9474,229,19524
421,9474,319,27138
422,9452,144,13414
423,9452,427,39916
424,9452,448,41947
425,9477,58,5575
426,9477,61,5818
427,9476,2,108
428,9477,29,2950
429,9476,108,10323
430,9477,121,10986
431,9474,6,861
432,9474,181,15446
433,9474,247,21114
434,9474,278,23642
435,9473,60,4894
436,9473,112,9337
437,9474,268,22828
438,9474,378,32264
439,9551,347,23112
440,9551,133,8345
441,9551,284,18229
442,9551,28,1897
443,9551,59,3760
444,9551,185,11634
445,9532,16,691
446,9563,3,515
447,9565,56,5188
448,9565,22,2251
449,9565,46,4239
450,9565,73,6688
451,9569,32,2468
452,9566,17,1422
453,9566,61,5554
454,9566,102,9146
455,9566,109,9812
456,9566,160,13746
457,9566,60,5437
458,9566,101,9027
459,9517,24,2100
460,9517,76,6576
461,9517,116,10012
462,9517,327,27853
463,9513,154,15231
464,9514,51,4331
465,9514,77,6548
466,9513,24,2437
467,9514,24,2068
468,8667,76,5669
469,8667,145,10580
470,8667,148,10828
471,8667,216,16802
472,8672,44,5105
473,8758,230,24018
474,8684,310,33724
475,8684,398,43379
476,8684,416,45362
477,8678,122,6179
478,8678,387,18747
479,8678,43,2846
480,8724,64,8976
481,8632,43,3383
482,8724,80,11085
483,8724,39,5458
484,8632,143,12174
485,8724,87,12082
486,8724,109,15185
487,8560,91,3828
488,8557,8,653
489,8678,16,1598
490,9491,174,11556
491,9491,232,15280
492,9491,390,25922
493,9488,290,22947
494,9497,40,2408
495,9492,64,4894
496,9493,81,6180
497,9493,204,15330
498,9493,221,16622
499,9493,222,16703
500,9493,276,20725
501,9493,309,23160
502,9491,264,17557
503,9491,343,22346
504,9493,306,22897
505,9491,30,2128
506,9491,179,11831
507,9491,223,14649
508,9491,223,14659
509,9491,455,31080
510,9491,461,31551
511,9491,31,2218
512,9491,196,12917
513,8595,105,9699
514,8595,213,19507
515,8619,27,1696
516,8619,338,23437
517,8619,239,16060
518,8619,342,23767
519,8608,50,4732
520,8606,205,19451
521,8606,20,2019
522,8679,177,14199
523,8685,99,10519
524,9564,386,28750
525,8679,255,21149
526,8679,365,33526
527,8723,225,31977
528,9509,335,32035
529,9542,216,14664
530,8638,214,22531
531,8684,303,32997
532,9513,59,5982
533,9481,72,5004
534,9509,174,16064
535,8685,211,22113
536,8648,102,8476
537,8648,260,21609
538,8648,113,9402
539,8738,4,660
540,8563,97,4940
541,8563,160,7919
542,8648,52,4319
543,8580,150,15834
544,8561,129,4073
545,8639,45,4977
546,8561,124,3904
547,8639,65,7350
548,8562,233,10767
549,8562,293,13578
550,8563,11,829
551,8650,113,11544
552,8561,218,7119
553,8650,40,4778
554,8650,80,8471
555,8580,28,3088
556,8580,129,13848
557,9452,5,393
558,9452,36,3359
559,9452,132,12317
560,9452,430,40216
561,9451,88,8009
562,9451,126,11295
563,9451,153,13764
564,9451,87,7884
565,9451,109,9767
566,9451,422,37939
567,9451,140,12591
568,9451,365,32611
569,9451,444,39828
570,9453,147,13840
571,9447,297,26403
572,9447,300,26641
573,9447,363,32310
574,9452,54,5029
575,9452,65,6083
576,9452,81,7674
577,9452,230,21244
578,9452,318,29230
579,9452,455,42606
580,9564,229,15223
581,9777,5,704
582,9564,295,20803
583,9564,17,1762
584,9564,286,20004
585,9780,40,6096
586,9782,66,10023
587,9786,37,3427
588,9777,23,3492
589,9786,14,1369
590,9787,15,1722
591,9780,61,9366
592,9780,62,9504
593,9780,48,7365
594,9780,115,17685
595,9781,13,2725
596,9781,68,11426
597,9781,68,11453
