run,subrun,event
8733,4,892
8733,39,4399
8733,40,4502
8733,52,5788
8733,52,5794
8733,77,8426
8733,85,9376
8733,87,9559
8733,87,9570
8733,98,10702
8733,103,11183
8630,19,1217
8630,52,3487
8630,57,3799
8630,66,4396
8630,77,5161
8630,77,5163
8630,77,5171
8630,77,5176
8630,77,5184
8630,86,5821
8630,86,5825
8630,107,7230
8630,142,9596
8630,142,9610
8630,156,10523
8630,161,10893
8630,191,13023
8630,191,13027
8630,192,13085
8632,14,1086
8632,65,5144
8632,83,6881
8632,83,6892
8632,83,6900
8632,83,6914
8722,6,741
8722,6,753
8722,10,1295
8722,26,3550
8722,26,3561
8722,37,5199
8722,48,6790
8722,49,6934
8722,65,9309
8722,65,9311
8722,67,9658
8722,71,10237
8722,71,10262
8722,71,10283
8722,73,10547
8722,83,12009
8722,83,12021
8722,86,12372
8722,87,12553
8722,91,13074
8722,100,14334
8722,111,15946
8722,111,15948
8722,113,16193
8726,1,57
8737,34,3371
8737,46,4620
8737,46,4624
8737,46,4629
8737,50,5042
8737,104,10709
8737,129,13231
8560,23,958
8560,41,1771
8560,62,2629
8560,69,2912
8560,74,3103
8560,74,3113
8560,83,3454
8560,134,5619
8560,175,7432
8630,8,483
8630,49,3277
8630,59,3903
8630,93,6322
8630,96,6526
8630,121,8184
8630,155,10456
8630,189,12857
8630,189,12871
8630,196,13352
8632,23,1772
8632,45,3568
8632,70,5628
8632,70,5641
8632,70,5650
8632,138,11792
8632,160,13141
8722,1,32
8722,1,47
8722,1,65
8722,27,3702
8722,27,3756
8722,40,5644
8722,43,6081
8722,43,6086
8722,53,7538
8722,58,8336
8722,63,9056
8722,78,11335
8722,93,13358
8722,110,15750
8737,14,1346
8737,31,3068
8737,70,7090
8737,78,7941
8737,114,11734
8737,127,13028
8737,127,13051
8737,152,15611
8598,2,631
8599,20,1912
8599,23,2218
8599,24,2331
8599,32,3118
8599,42,4047
8599,49,4717
8599,52,5007
8599,72,6861
8599,86,8116
8599,93,8774
8680,5,566
8680,5,579
8680,8,959
8680,9,1091
8680,9,1145
8680,11,1349
8680,12,1505
8680,12,1541
8680,16,2018
8680,17,2145
8680,26,3318
8680,26,3319
8680,34,4306
8680,34,4356
8725,2,310
8725,2,319
8725,8,1129
8725,23,2875
8725,24,3040
8725,30,3867
8725,30,3881
8725,30,3895
8725,31,4046
8725,51,6778
8725,62,8290
8725,62,8326
8725,65,8680
8725,65,8681
8725,65,8685
8725,66,8851
8725,66,8896
8725,66,8913
8725,67,8984
8725,71,9402
8725,72,9493
8725,72,9510
