n_train,latent_dim_mean,latent_dim_std,seed_mean,seed_std,vae_best_epoch_mean,vae_best_epoch_std,vae_best_val_loss_mean,vae_best_val_loss_std,flow_best_epoch_mean,flow_best_epoch_std,flow_best_val_nll_mean,flow_best_val_nll_std,train_RE_mean_mean,train_RE_mean_std,val_RE_mean_mean,val_RE_mean_std,kaon_RE_mean_mean,kaon_RE_mean_std,auc_mean,auc_std,best_thr_nll_mean,best_thr_nll_std,purity_mean,purity_std,precision_mean,precision_std,kaon_eff_mean,kaon_eff_std,recall_mean,recall_std,f1_mean,f1_std,proton_fpr_mean,proton_fpr_std,proton_eff_mean,proton_eff_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,kaon_eff_at_1pct_fpr_mean,kaon_eff_at_1pct_fpr_std,valp_below_n_mean,valp_below_n_std,valp_below_mass_mean_mean,valp_below_mass_mean_std,valp_below_mass_std_mean,valp_below_mass_std_std,valp_below_chi2_k_mean_mean,valp_below_chi2_k_mean_std,valp_below_chi2_k_std_mean,valp_below_chi2_k_std_std,valp_below_chi2_p_mean_mean,valp_below_chi2_p_mean_std,valp_below_chi2_p_std_mean,valp_below_chi2_p_std_std,valp_below_RE_mean_mean,valp_below_RE_mean_std,valp_below_RE_std_mean,valp_below_RE_std_std,valp_above_n_mean,valp_above_n_std,valp_above_mass_mean_mean,valp_above_mass_mean_std,valp_above_mass_std_mean,valp_above_mass_std_std,valp_above_chi2_k_mean_mean,valp_above_chi2_k_mean_std,valp_above_chi2_k_std_mean,valp_above_chi2_k_std_std,valp_above_chi2_p_mean_mean,valp_above_chi2_p_mean_std,valp_above_chi2_p_std_mean,valp_above_chi2_p_std_std,valp_above_RE_mean_mean,valp_above_RE_mean_std,valp_above_RE_std_mean,valp_above_RE_std_std,kaon_below_n_mean,kaon_below_n_std,kaon_below_mass_mean_mean,kaon_below_mass_mean_std,kaon_below_mass_std_mean,kaon_below_mass_std_std,kaon_below_chi2_k_mean_mean,kaon_below_chi2_k_mean_std,kaon_below_chi2_k_std_mean,kaon_below_chi2_k_std_std,kaon_below_chi2_p_mean_mean,kaon_below_chi2_p_mean_std,kaon_below_chi2_p_std_mean,kaon_below_chi2_p_std_std,kaon_below_RE_mean_mean,kaon_below_RE_mean_std,kaon_below_RE_std_mean,kaon_below_RE_std_std,kaon_above_n_mean,kaon_above_n_std,kaon_above_mass_mean_mean,kaon_above_mass_mean_std,kaon_above_mass_std_mean,kaon_above_mass_std_std,kaon_above_chi2_k_mean_mean,kaon_above_chi2_k_mean_std,kaon_above_chi2_k_std_mean,kaon_above_chi2_k_std_std,kaon_above_chi2_p_mean_mean,kaon_above_chi2_p_mean_std,kaon_above_chi2_p_std_mean,kaon_above_chi2_p_std_std,kaon_above_RE_mean_mean,kaon_above_RE_mean_std,kaon_above_RE_std_mean,kaon_above_RE_std_std
32,4.0,0.0,1074.0,1000.0,48.666666666666664,6.110100926607787,4303.209657611269,153.48009423118674,76.33333333333333,63.81483631047981,1.9284178813298543,2.241372038271946,0.31780211130777997,0.005535571632908219,0.33031874895095825,0.004470122568368958,0.5708065430323283,0.025652310371600658,0.7804244882452848,0.06287311708132999,10.992507457733154,9.105672093709972,0.8016352919160651,0.04693588210914337,0.8016352919160651,0.04693588210914337,0.6078787878787879,0.1955651554534913,0.6078787878787879,0.1955651554534913,0.6750599142286454,0.11794089258232045,0.13053097345132744,0.07775253895632567,0.8694690265486725,0.07775253895632565,1179.0,105.43244282477761,177.0,105.43244282477761,431.3333333333333,215.12167099884041,668.6666666666666,215.12167099884041,0.19606060606060605,0.11670522778709388,1179.0,105.43244282477761,936.3983968098959,0.12714584590149408,63.322271982828774,0.9754292313311637,2.0552585124969482,0.010401117048291789,2.22462264696757,0.06861434510569432,1.7777880430221558,0.0068254289718694535,2.642279545466105,0.03303326154431345,0.3168339828650157,0.010372031513949661,0.08737366894880931,0.007481694650276281,177.0,105.43244282477761,917.1209513346354,11.580603576903746,78.18088277180989,8.023083016996543,2.2377997239430747,0.11276753731783813,2.5471979777018228,0.6812197135102507,1.748700459798177,0.06058155919857784,2.752317508061727,0.33259553192683033,0.42609278361002606,0.029508929769321766,0.13409298906723657,0.019990805481474597,431.3333333333333,215.12167099884041,508.0875244140625,4.431561275980601,72.8457768758138,4.111014693144319,2.883298317591349,0.3792175156712267,4.9666948318481445,2.13765782406751,3.2018724282582602,0.30114561064512585,3.71207586924235,1.3648485494605356,0.4744350810845693,0.07575463565942704,0.19560779631137848,0.05683883690686704,668.6666666666666,215.12167099884041,490.83203125,3.5822007549692163,61.495721181233726,1.2768737703750737,3.541338841120402,0.16878973271225922,8.257697582244873,0.6567403461929963,3.687095880508423,0.14925423961998313,6.247686703999837,0.30919514952147265,0.6220555305480957,0.022365423521817956,0.24381827314694723,0.008459780265033948
64,4.0,0.0,1106.0,1000.0,55.333333333333336,9.504384952922168,3686.85478811553,310.27785950602635,48.666666666666664,14.224392195567914,3.315971771876017,1.6622297895111757,0.24814367791016897,0.030081040263849976,0.2777787148952484,0.035387237081844145,0.5372841755549113,0.04072786129099816,0.8112615088942524,0.022073922995537485,4.676326036453247,1.5724490936914348,0.7620270921757376,0.03403454087744745,0.7620270921757376,0.03403454087744745,0.6733333333333333,0.03479970235140753,0.6733333333333333,0.03479970235140753,0.7141291604539196,0.018532303006983362,0.17207472959685352,0.03833626245485155,0.8279252704031466,0.03833626245485155,1122.6666666666667,51.983971888778726,233.33333333333334,51.98397188877869,359.3333333333333,38.27967258654824,740.6666666666666,38.27967258654826,0.24242424242424243,0.11396800092201223,1122.6666666666667,51.983971888778726,936.207275390625,1.4248324058822395,63.34299087524414,2.039865395224163,2.0329596201578775,0.01621218476044372,2.2164622942606607,0.05796430422307594,1.7800613641738892,0.025628456280925287,2.621955156326294,0.07767619388432008,0.2607872138420741,0.03889565169911533,0.07316007713476817,0.01284843782000146,233.33333333333334,51.98397188877869,925.9992879231771,6.84675279162135,72.50146993001302,6.600379062525576,2.2661875089009604,0.0706883156967399,2.322080930074056,0.26400412865010525,1.7670146226882935,0.14302651185235776,2.7379438877105713,0.4288862155229894,0.3586478332678477,0.03782103599608233,0.13446849584579468,0.03337969137779867,359.3333333333333,38.27967258654824,509.40008544921875,4.593411405465586,74.1972173055013,2.673183169328144,2.8614776134490967,0.14311986089286508,4.491099278132121,1.1629107120599207,3.2101189295450845,0.16082011365999346,3.5612920920054116,0.7761980921936855,0.3875441253185272,0.052634620424811325,0.1736757904291153,0.011971679593092173,740.6666666666666,38.27967258654826,491.4967956542969,3.2215606137564907,60.75707499186198,2.5399354310348112,3.5840269724527993,0.10635924723918384,8.57956314086914,0.441724448834558,3.7163429260253906,0.10631429100390148,6.336365858713786,0.305710677076747,0.6104968388875326,0.032868584301497715,0.2581022083759308,0.011089770312930137
128,4.0,0.0,1170.0,1000.0,71.0,31.432467291003423,2637.254265062737,494.4963926069632,43.0,27.622454633866266,6.9429426193237305,5.186556096682529,0.18104755878448486,0.05057054040494859,0.19448632498582205,0.049777223616250414,0.4625058174133301,0.040943332214241276,0.7581737731295254,0.10988927140411052,6.357071876525879,2.7385847367084613,0.8311010344909798,0.048394672806480785,0.8311010344909798,0.048394672806480785,0.5709090909090909,0.15237242326582862,0.5709090909090909,0.15237242326582862,0.6650466025637279,0.10350430764425654,0.10054080629301869,0.051708384665298444,0.8994591937069814,0.05170838466529845,1219.6666666666667,70.11656960614471,136.33333333333334,70.1165696061447,472.0,167.60966559241146,628.0,167.60966559241146,0.14909090909090908,0.018452530118349488,1219.6666666666667,70.11656960614471,936.2698567708334,0.28990321933086755,64.10180791219075,0.22294302222497966,2.0242741107940674,0.06739333237608729,2.1520183086395264,0.10768713404389191,1.7509017785390217,0.06427558508230169,2.5813541412353516,0.0914081067699656,0.1847192347049713,0.054519578282035214,0.060808803886175156,0.02023132711455657,136.33333333333334,70.1165696061447,912.6523844401041,15.520721109609127,75.47113800048828,7.5483190081829665,2.2549243768056235,0.7247772150803078,2.365366061528524,1.1364293192198995,1.7201910416285198,0.8575931982861434,2.493126074473063,1.367530008991777,0.28260670602321625,0.05730524834892498,0.1415699819723765,0.023564228239366547,472.0,167.60966559241146,507.8370666503906,4.3974743146521345,71.13538614908855,1.7429893229983593,3.1028626759847007,0.38050092742242464,7.230404059092204,1.822442280529484,3.375149965286255,0.295697097531395,5.279542922973633,1.0157291470737022,0.34630001584688824,0.11066744936360737,0.20256192485491434,0.03444754225354046,628.0,167.60966559241146,490.2652893066406,1.5383859998681966,61.360679626464844,0.9317956487111998,3.4147204558054605,0.26754532728595243,7.319390614827474,0.9434249271651645,3.5807815392812095,0.23309420368712,5.61119016011556,0.4915257799852249,0.5344603657722473,0.024057352153441566,0.2577568789323171,0.0026960183565099337
256,4.0,0.0,1298.0,1000.0,80.0,26.457513110645905,1954.0580888227985,147.2986804934176,74.33333333333333,71.15007613020055,5.7607457637786865,5.545947695837316,0.1167311817407608,0.01851203431867471,0.13060141106446585,0.016164438622934478,0.44554497798283893,0.010580737972458438,0.6547144006436042,0.32322340250942994,7.019097646077474,4.847719617916792,0.7099240092656677,0.048686599123558605,0.7099240092656677,0.048686599123558605,0.5327272727272727,0.40801778441226577,0.5327272727272727,0.40801778441226577,0.5384007865695538,0.36880097751815416,0.15880039331366766,0.1173478183291466,0.8411996066863323,0.11734781832914669,1140.6666666666667,159.1236416543228,215.33333333333334,159.1236416543228,514.0,448.81956285349236,586.0,448.81956285349236,0.13818181818181818,0.09759081382050648,1140.6666666666667,159.1236416543228,935.6286824544271,0.8073930679236663,63.582628885904946,1.2792474206978592,2.0046125650405884,0.04259240476146447,2.2339955965677896,0.015767529816902673,1.7552742560704548,0.04573787512650004,2.6768128077189126,0.0573691428877813,0.11618694911400478,0.025606103322751702,0.044587571173906326,0.016602036105194527,215.33333333333334,159.1236416543228,926.6161092122396,3.8809413168527103,74.6244125366211,3.241167538356425,2.62774666150411,0.41877538618899907,2.02723228931427,0.41826831341907983,1.9377972682317097,0.17739896062231786,2.1865234375,0.5825595997077525,0.2121404161055883,0.036269322623017027,0.12174995491902034,0.012372560389409915,514.0,448.81956285349236,510.76291910807294,10.700730522401567,73.75848134358723,6.882255443671921,2.8299867312113443,0.4360054860726641,4.603299538294475,2.585266080549389,3.1285270055135093,0.36237064205241487,3.673307021458944,1.72965654566333,0.28865478932857513,0.12204609244979171,0.1997279872496923,0.06386890500375392,586.0,448.81956285349236,486.83702596028644,8.602339103736483,61.968441009521484,1.4834445403926264,3.542683204015096,0.0571795190256925,7.59099547068278,1.3551565694556826,3.6624576250712075,0.12289437738734733,5.504244963328044,1.1905263785627989,0.522136390209198,0.003677720142227209,0.28650611639022827,0.02583018820613646
512,4.0,0.0,1554.0,1000.0,72.0,22.271057451320086,1680.0328665068655,121.85702921364285,88.33333333333333,45.1811169996198,2.2052186330159507,1.1255618284544018,0.09637535115083058,0.018303309593603757,0.11007498453060786,0.016116760640872446,0.4324316183725993,0.009576186654331546,0.855950098328417,0.02142924366266393,3.9403180281321206,0.42614600559651955,0.7502636006338202,0.021864056780260287,0.7502636006338202,0.021864056780260287,0.7824242424242424,0.006883525267636728,0.7824242424242424,0.006883525267636728,0.7659317834451369,0.013734299242198086,0.2116519174041298,0.02321545167949438,0.7883480825958702,0.023215451679494424,1069.0,31.480152477394387,287.0,31.480152477394387,239.33333333333334,7.57187779440036,860.6666666666666,7.571877794400349,0.2290909090909091,0.05547689564506312,1069.0,31.480152477394387,935.6576131184896,0.8801191021855241,63.51357777913412,0.6276371597668725,1.9905654986699421,0.00777223334279587,2.248136123021444,0.06433250118411228,1.766026457150777,0.03059074295288163,2.7080190976460776,0.04305526223269614,0.09142196923494339,0.016053947803857733,0.03322087538739046,0.003518685309979417,287.0,31.480152477394387,929.5613810221354,4.07198497863272,71.35916900634766,1.5000038673896157,2.3866753578186035,0.06731134794328897,2.2010238567988076,0.23824611539755644,1.825825293858846,0.12248848115734605,2.3820526599884033,0.1702988087059913,0.1803299734989802,0.02721444371300579,0.1093360036611557,0.011887367867049654,239.33333333333334,7.57187779440036,517.6468607584635,6.616860571941317,78.67686971028645,1.9457532189791216,2.389502922693888,0.10275224691107752,2.910923480987549,0.44922220508824806,2.7261733214060464,0.10952873649475876,2.5217135747273765,0.12376669677408698,0.17915553351243338,0.01753702552611996,0.12357517580191295,0.03043976861006019,860.6666666666666,7.571877794400349,491.9714660644531,1.6530497208984583,61.04458236694336,0.7733664648310277,3.6074564456939697,0.03130658819816437,8.318476994832357,0.07227959719011012,3.7721729278564453,0.02778543639420205,6.155564149220784,0.03838535251477278,0.5027105510234833,0.012803144928349261,0.29213948051134747,0.0021098491251003077
1024,4.0,0.0,2066.0,1000.0,85.66666666666667,10.214368964029708,1353.5931267015862,48.44234645442494,95.66666666666667,38.630730427126714,2.355748414993286,0.4164355168698596,0.07498207439978917,0.003469292241698041,0.08309060831864674,0.003476811595256088,0.42261529962221783,0.015553823650564333,0.8575405604719762,0.01208395092806338,4.335081497828166,0.8001314906524947,0.7811530158935542,0.029349592361690817,0.7811530158935542,0.029349592361690817,0.7627272727272727,0.04489657536314817,0.7627272727272727,0.04489657536314817,0.7707609058084922,0.013583852400935662,0.1750245821042281,0.03892752978982096,0.8249754178957719,0.03892752978982099,1118.6666666666667,52.785730394997216,237.33333333333334,52.78573039499722,261.0,49.38623289946298,839.0,49.38623289946298,0.23696969696969697,0.0412343968319371,1118.6666666666667,52.785730394997216,934.2197062174479,0.3587832675881953,64.36442311604817,0.04291916577313483,1.9841198126475017,0.01639020478352059,2.2431106567382812,0.0363987052756532,1.7526842753092449,0.008785853291438269,2.6645966370900473,0.033239254358781944,0.06863403817017873,0.002902845958147017,0.025220129638910294,0.0023573161812987966,237.33333333333334,52.78573039499722,935.7261555989584,2.2310702230562818,69.91513570149739,1.0205240537618812,2.4972876707712808,0.038276957994288756,2.209210236867269,0.19849787074203226,1.9009482463200886,0.06979330355243753,2.5527849197387695,0.15748828090030612,0.15200571219126383,0.00717856665920927,0.10097690920035045,0.005351237320294688,261.0,49.38623289946298,521.0597737630209,5.344551795324639,79.98116048177083,3.117871719106528,2.604450225830078,0.2430311680449895,4.189110517501831,1.6286833439644839,2.859875758488973,0.1921798239498888,3.4272664388020835,1.0779498827786373,0.15585381289323172,0.01986019653682706,0.13545700162649155,0.017710745034509357,839.0,49.38623289946298,490.39720662434894,0.5305371659032326,59.601949055989586,0.5919635560588428,3.567258358001709,0.07393175586008865,8.195005575815836,0.25257102891134714,3.7552491823832193,0.06545854398758988,6.056584358215332,0.20176709787598274,0.5056149959564209,0.02373875216735157,0.29891331990559894,0.00820053568104715
2048,4.0,0.0,3090.0,1000.0,71.33333333333333,25.579940057266224,1225.8667186390269,102.74468311867157,73.33333333333333,26.633312473917574,2.3410936196645102,0.27100996111778564,0.06944629549980164,0.009966624465364839,0.07544598480065663,0.009056217144665759,0.4271433452765147,0.016989086831415087,0.8635905515330293,0.007354696762604178,4.690121173858643,0.5343621870783418,0.8070005982813327,0.030173080991851495,0.8070005982813327,0.030173080991851495,0.7366666666666667,0.02715631721604184,0.7366666666666667,0.02715631721604184,0.7695354964063826,0.003881477466473046,0.14429695181907573,0.03406196278404873,0.8557030481809242,0.0340619627840488,1160.3333333333333,46.18802153517008,195.66666666666666,46.18802153517006,289.6666666666667,29.871948937646053,810.3333333333334,29.87194893764606,0.2912121212121212,0.05736884671145791,1160.3333333333333,46.18802153517008,934.1230061848959,0.3214488825281123,65.0076166788737,0.5732758056831595,1.9861035744349163,0.0024954737050818096,2.255831003189087,0.017759286319284123,1.744095762570699,0.011464509508140888,2.6800596714019775,0.032112476046447486,0.06220431998372078,0.009998606810226745,0.027061452468236286,0.005092711730908912,195.66666666666666,46.18802153517006,936.0724283854166,1.6935300172728833,66.80147298177083,2.672342989568663,2.6093388398488364,0.11888250532895157,2.093770424524943,0.0787164975191444,1.9927126963933308,0.11010712414424033,2.4125616550445557,0.15990918907674076,0.1562569042046865,0.023130367779990044,0.10083817193905513,0.010848138332995283,289.6666666666667,29.871948937646053,518.5434163411459,3.4526661746761533,78.47092183430989,0.6939886918547701,2.7411771615346274,0.1425542159843867,5.031359275182088,1.211485476753993,2.9800519148508706,0.08746824210546889,3.9863952000935874,0.8556683572143415,0.1490129977464676,0.014166377649084098,0.13152095675468445,0.0036573769798556653,810.3333333333334,29.87194893764606,490.1011962890625,0.12935253757437148,59.441304524739586,0.5105675563851908,3.5532679557800293,0.01950187981688305,8.15271282196045,0.13845696926166529,3.744513193766276,0.006772176696668548,6.0148545900980634,0.1145919676031065,0.5267165303230286,0.029700215184952618,0.3027237355709076,0.013778562774393826
5421,4.0,0.0,6463.0,1000.0,78.66666666666667,13.05118130030126,1001.5678100585938,59.524405433507845,96.33333333333333,33.842773723992146,2.521000913493541,0.2736698354281894,0.05899197359879812,0.006353572428540943,0.06277303770184517,0.005051707725483692,0.44430821140607196,0.00733424446216981,0.868887212836328,0.0072822827480163235,5.320690790812175,0.17304167433471807,0.8328522297986162,0.00955218142932517,0.8328522297986162,0.00955218142932517,0.7227272727272727,0.012629494535863456,0.7227272727272727,0.012629494535863456,0.7738226752272808,0.007290344913393571,0.11774827925270404,0.008736163050106613,0.8822517207472961,0.008736163050106636,1196.3333333333333,11.846237095944556,159.66666666666666,11.846237095944575,305.0,13.892443989449804,795.0,13.892443989449804,0.3751515151515152,0.027728514626931933,1196.3333333333333,11.846237095944556,933.6872762044271,0.1152832660300655,65.57785288492839,0.4122160964571305,2.00001855691274,0.0008908861570568493,2.225669542948405,0.025021059418548403,1.7285170157750447,0.006393926421725398,2.6316515604654946,0.015647357687329496,0.05059680218497912,0.005475493576960919,0.02237245130042235,0.002008734688643129,159.66666666666666,11.846237095944575,940.0325317382812,1.1681963657338457,63.1546630859375,3.101483356248802,2.6252048015594482,0.0424217913656271,2.288616975148519,0.17428570345376976,2.141796429951986,0.029599107421632964,2.69669508934021,0.10599336480109212,0.15459786852200827,0.012507163502458084,0.12640299648046494,0.018421619318175143,305.0,13.892443989449804,517.3243815104166,0.4104060608159861,78.8296635945638,1.3399138865905114,2.701335350672404,0.15500588811166566,4.906131585439046,1.7293763407572107,2.953878879547119,0.10446209294226083,3.9950033823649087,1.1411827928862408,0.14899370074272156,0.013677176872018273,0.15726650754610697,0.026910555240641676,795.0,13.892443989449804,489.92369588216144,0.5309247854611271,58.855770111083984,1.1835301233560014,3.5901029904683432,0.07119284506008036,8.227535406748453,0.376304192964559,3.7729047934214273,0.051439600988878176,6.049464225769043,0.2784938438534291,0.5578819314638773,0.020083653375951065,0.32787004113197327,0.005043517473174941
