latent_dim,n_train_mean,n_train_std,seed_mean,seed_std,vae_best_epoch_mean,vae_best_epoch_std,vae_best_val_loss_mean,vae_best_val_loss_std,flow_best_epoch_mean,flow_best_epoch_std,flow_best_val_nll_mean,flow_best_val_nll_std,train_RE_mean_mean,train_RE_mean_std,val_RE_mean_mean,val_RE_mean_std,kaon_RE_mean_mean,kaon_RE_mean_std,auc_mean,auc_std,best_thr_nll_mean,best_thr_nll_std,purity_mean,purity_std,precision_mean,precision_std,kaon_eff_mean,kaon_eff_std,recall_mean,recall_std,f1_mean,f1_std,proton_fpr_mean,proton_fpr_std,proton_eff_mean,proton_eff_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,kaon_eff_at_1pct_fpr_mean,kaon_eff_at_1pct_fpr_std,valp_below_n_mean,valp_below_n_std,valp_below_mass_mean_mean,valp_below_mass_mean_std,valp_below_mass_std_mean,valp_below_mass_std_std,valp_below_chi2_k_mean_mean,valp_below_chi2_k_mean_std,valp_below_chi2_k_std_mean,valp_below_chi2_k_std_std,valp_below_chi2_p_mean_mean,valp_below_chi2_p_mean_std,valp_below_chi2_p_std_mean,valp_below_chi2_p_std_std,valp_below_RE_mean_mean,valp_below_RE_mean_std,valp_below_RE_std_mean,valp_below_RE_std_std,valp_above_n_mean,valp_above_n_std,valp_above_mass_mean_mean,valp_above_mass_mean_std,valp_above_mass_std_mean,valp_above_mass_std_std,valp_above_chi2_k_mean_mean,valp_above_chi2_k_mean_std,valp_above_chi2_k_std_mean,valp_above_chi2_k_std_std,valp_above_chi2_p_mean_mean,valp_above_chi2_p_mean_std,valp_above_chi2_p_std_mean,valp_above_chi2_p_std_std,valp_above_RE_mean_mean,valp_above_RE_mean_std,valp_above_RE_std_mean,valp_above_RE_std_std,kaon_below_n_mean,kaon_below_n_std,kaon_below_mass_mean_mean,kaon_below_mass_mean_std,kaon_below_mass_std_mean,kaon_below_mass_std_std,kaon_below_chi2_k_mean_mean,kaon_below_chi2_k_mean_std,kaon_below_chi2_k_std_mean,kaon_below_chi2_k_std_std,kaon_below_chi2_p_mean_mean,kaon_below_chi2_p_mean_std,kaon_below_chi2_p_std_mean,kaon_below_chi2_p_std_std,kaon_below_RE_mean_mean,kaon_below_RE_mean_std,kaon_below_RE_std_mean,kaon_below_RE_std_std,kaon_above_n_mean,kaon_above_n_std,kaon_above_mass_mean_mean,kaon_above_mass_mean_std,kaon_above_mass_std_mean,kaon_above_mass_std_std,kaon_above_chi2_k_mean_mean,kaon_above_chi2_k_mean_std,kaon_above_chi2_k_std_mean,kaon_above_chi2_k_std_std,kaon_above_chi2_p_mean_mean,kaon_above_chi2_p_mean_std,kaon_above_chi2_p_std_mean,kaon_above_chi2_p_std_std,kaon_above_RE_mean_mean,kaon_above_RE_mean_std,kaon_above_RE_std_mean,kaon_above_RE_std_std
2,5421.0,0.0,1242.0,1000.0,76.33333333333333,24.785748593361735,1651.6783835671165,48.743911524840755,50.666666666666664,24.70492528491704,1.0007890717905676,0.02624727528679246,0.12220175564289093,0.00731266004124351,0.12614323198795319,0.007283402193178725,0.5024756292502085,0.0025419091443441627,0.8450429069455617,0.0038085619419342067,1.9215250809987385,0.18100430394143913,0.7258757466499933,0.01937850897781647,0.7258757466499933,0.01937850897781647,0.7578787878787878,0.03678543249816607,0.7578787878787878,0.03678543249816607,0.7408325049073717,0.00841494060436455,0.23328416912487712,0.03285920316913854,0.766715830875123,0.032859203169138616,1039.6666666666667,44.55707949735182,316.3333333333333,44.55707949735185,266.3333333333333,40.46397574798272,833.6666666666666,40.4639757479827,0.2509090909090909,0.025984738050829875,1039.6666666666667,44.55707949735182,934.8322957356771,0.09225726505081505,63.59264882405599,0.6973073624076874,2.0770880381266275,0.026261171256997538,2.3748292922973633,0.042123623860273296,1.8689679304758708,0.03701519136501084,2.798723061879476,0.06362784017928613,0.11244900524616241,0.007690425784860853,0.05655931433041891,0.003610683944020979,316.3333333333333,44.55707949735185,933.0589396158854,0.4968209281225866,70.62137349446614,1.2840960802289232,2.0676326354344687,0.08182169641861263,1.7362146774927776,0.1373735320510459,1.4850542942682903,0.07706765347557028,2.0277783473332724,0.21354158917969673,0.17181803782780966,0.015057070901954977,0.12683283785978952,0.0077819314908657905,266.3333333333333,40.46397574798272,510.1258138020833,1.8769375506531223,73.40624491373698,1.3362856212400502,2.765938679377238,0.03950909897933957,3.85740598042806,0.012496244397979224,3.1018519401550293,0.024898901023074453,3.153627792994181,0.009827833093778863,0.27891385555267334,0.012945747055267158,0.2397164305051168,0.01100906715714169,833.6666666666666,40.4639757479827,493.5319315592448,0.5224955327472975,63.204419453938804,0.5028090495105909,3.527488946914673,0.03822430998164886,8.33163324991862,0.16225603078134962,3.687092145284017,0.028940055364871545,6.162063121795654,0.11281344977935219,0.5738888184229533,0.012569851490838661,0.34642093380292255,0.002427708079927222
4,5421.0,0.0,1442.0,1000.0,55.333333333333336,3.214550253664319,1050.0737443403766,18.078831483545265,78.33333333333333,41.956326499508194,2.3818298469956773,0.18416089813072126,0.06255186721682549,0.002995632923979376,0.06555398801962535,0.0032634473389992797,0.4394957621892293,0.00794654129237397,0.864936980423706,0.0011548575735156501,4.770717938741048,0.12393081028242434,0.8155913978494623,0.015625108393658032,0.8155913978494623,0.015625108393658032,0.7415151515151516,0.019799268150205614,0.7415151515151516,0.019799268150205614,0.7765250641773663,0.004270260352491056,0.13643067846607668,0.017745146630554508,0.8635693215339234,0.017745146630554542,1171.0,24.06241883103193,185.0,24.06241883103193,284.3333333333333,21.77919496522617,815.6666666666666,21.779194965226196,0.3381818181818182,0.02420641264671699,1171.0,24.06241883103193,933.6581624348959,0.19021980587566448,65.79062906901042,0.0465192372141327,1.9934215545654297,0.005583832368626975,2.2479138374328613,0.006682042674417317,1.731243411699931,0.001590263344555955,2.653553088506063,0.00658382531611045,0.052429068833589554,0.0036538421396046716,0.022346175586183865,0.0008784353965522385,185.0,24.06241883103193,939.3172607421875,1.086206534904886,62.167799631754555,0.5838399125306555,2.583423455556234,0.052915942725596576,2.141535838445028,0.02870797717854714,2.0718044439951577,0.040897937914342875,2.5570646127065024,0.0315098561172119,0.149359921614329,0.012547956649859497,0.10250689586003621,0.006856809761247176,284.3333333333333,21.77919496522617,517.3980712890625,1.7514765749416958,79.96492513020833,1.4442913204841343,2.8696107864379883,0.12826739695215972,6.08772627512614,0.19595372025535118,3.0685707728068032,0.13182028488225206,4.778987566630046,0.22351851135410292,0.1432106097539266,0.009338403563419329,0.14549992481867471,0.011468381492505234,815.6666666666666,21.779194965226196,490.57423909505206,1.0947841933397233,59.08697509765625,0.7285693614293257,3.5102047125498452,0.060508081125573515,7.9320089022318525,0.08979704834358512,3.7140161196390786,0.061864791661554785,5.837438106536865,0.08159619251671647,0.5428915818532308,0.015562039591926676,0.32035181919733685,0.0042842805353221465
6,5421.0,0.0,1642.0,1000.0,60.333333333333336,30.534133905079628,924.9932472922586,65.48786908846213,104.66666666666667,69.0820767879291,3.1733138536367775,1.6236331442355845,0.04925116275747617,0.006981077513477857,0.05249822015563647,0.005688943027593388,0.393759290377299,0.00546763519835527,0.9088650889425226,0.016136298695492313,6.792884985605876,0.46290995257269546,0.8327227206557551,0.04557611235218041,0.8327227206557551,0.04557611235218041,0.8154545454545454,0.017344349116671768,0.8154545454545454,0.017344349116671768,0.8236729104851656,0.027958329618322772,0.1342182890855457,0.04343526348857587,0.8657817109144542,0.04343526348857589,1174.0,58.89821729050889,182.0,58.89821729050889,203.0,19.078784028338912,897.0,19.078784028338912,0.39575757575757575,0.07980520361114289,1174.0,58.89821729050889,934.2708129882812,0.3528511747461353,65.24701690673828,0.42152132252636376,1.9907564719518025,0.02217942243180421,2.2115848064422607,0.04873303757874506,1.7090577681859334,0.015629045516409035,2.626082181930542,0.05919878488709988,0.04271590833862623,0.005253916326462145,0.01704144508888324,0.0017794905899176207,182.0,58.89821729050889,935.98828125,2.490693714188321,65.91193262736003,3.476387173565127,2.6162631511688232,0.10416459728224486,2.396813710530599,0.32297339960725907,2.2486915588378906,0.1928833446052385,2.6614131927490234,0.4569067415431247,0.1175319254398346,0.012535698133328457,0.08153098821640015,0.004714707366151811,203.0,19.078784028338912,531.0414021809896,7.777563363421262,82.86929321289062,1.9376178128546535,2.5104841391245523,0.1224591721092098,3.0981856187184653,0.30105593290184907,2.7440289656321206,0.07497129376261241,2.9191060860951743,0.21546090525197548,0.090193676451842,0.013350064611381114,0.10376707216103871,0.018387832184863312,897.0,19.078784028338912,490.05858357747394,0.8551075035094577,59.25027974446615,0.9777823249966332,3.531627655029297,0.04100039888797312,8.16339906056722,0.09061553271937327,3.7256759802500405,0.020315059878916193,6.015871524810791,0.06680361989555549,0.462547371784846,0.010166634976259095,0.3020200530687968,0.012166203652011348
8,5421.0,0.0,1842.0,1000.0,91.0,10.583005244258363,849.4699993711529,7.426665035260431,110.66666666666667,40.67349669420289,4.5174895029553905,0.6375944061101773,0.03912000730633736,0.0009865793666231425,0.04303786034385363,0.0007545058302850264,0.37796932458877563,0.004693871557141332,0.9074332931080719,0.012708326718469025,9.005143483479818,0.21484063314200258,0.8267382613097509,0.01819035661045972,0.8267382613097509,0.01819035661045972,0.8203030303030303,0.012106051124507926,0.8203030303030303,0.012106051124507926,0.8234592080934359,0.01337883295975451,0.13962635201573256,0.016886671087114648,0.8603736479842675,0.01688667108711465,1166.6666666666667,22.898325994127493,189.33333333333334,22.898325994127458,197.66666666666666,13.316656236958787,902.3333333333334,13.316656236958789,0.31424242424242427,0.12169713569951253,1166.6666666666667,22.898325994127493,934.0017293294271,0.31167049783419964,64.53313954671223,0.6820535340960703,2.0025230646133423,0.01178237627091074,2.2401718298594155,0.030470808469852624,1.7256251970926921,0.006543788980680858,2.6602745056152344,0.016230329740491413,0.03516307597359022,0.0006947450137612806,0.013563287754853567,0.00043320270885778626,189.33333333333334,22.898325994127458,937.0414021809896,1.9251123995575865,69.7897211710612,3.0827723165740144,2.5086026191711426,0.02034218390852718,2.1870288054148355,0.17127912576961069,2.0978082021077475,0.05120469335822745,2.4952591260274253,0.12317407423180764,0.09210173040628433,0.007269943352288078,0.06404079000155131,0.0018582100451954014,197.66666666666666,13.316656236958787,529.7797241210938,3.39941000068332,80.81373341878255,1.0047421982686497,2.4356988271077475,0.21375547886699495,2.9871812661488852,0.3416804561365901,2.7096203168233237,0.1779985742845518,2.7950921058654785,0.27712141809991153,0.07417525351047516,0.0064524123933382025,0.06387098381916682,0.01224016866038731,902.3333333333334,13.316656236958789,490.48667399088544,0.45697752556655014,60.27547073364258,0.5863180036791237,3.5435168743133545,0.06234705530240147,8.14876397450765,0.07137907618924458,3.7295482953389487,0.05248913185852327,6.01296329498291,0.054987513179646376,0.44449664155642193,0.003619185759323511,0.30648483832677204,0.0017983779221617511
12,5421.0,0.0,2242.0,1000.0,44.333333333333336,9.71253485622231,902.148378314394,27.86788591863664,120.0,38.43175770115127,3.7373479017822056,1.4420074175438098,0.04570024460554123,0.0016058278838836696,0.04857809469103813,0.0012369954542340584,0.37205158670743305,0.002302629285895737,0.9133734468579601,0.005811195994482297,11.693833669026693,0.9035012941764851,0.8422760644047195,0.0036388100795430763,0.8422760644047195,0.0036388100795430763,0.8072727272727273,0.011922615498730877,0.8072727272727273,0.011922615498730877,0.8243572988376924,0.0050115556694984775,0.12266470009832842,0.004910271473804857,0.8773352999016716,0.00491027147380484,1189.6666666666667,6.658328118479425,166.33333333333334,6.658328118479389,212.0,13.114877048604,888.0,13.114877048604,0.42333333333333334,0.0010497277621629626,1189.6666666666667,6.658328118479425,934.1124877929688,0.5583259667585504,64.80813344319661,0.5279577745923594,2.014808019002279,0.015413036695121571,2.2801265716552734,0.022647355268935635,1.7471906741460164,0.006289436407964918,2.7123425801595054,0.022688555585990127,0.04031039153536161,0.0012768098369267218,0.016040890477597713,0.0009962392128163833,166.33333333333334,6.658328118479389,936.5816446940104,3.8075434201545266,68.9340108235677,3.7000065818126076,2.492272059122721,0.1112252722375432,1.8970741430918376,0.16317370293226635,1.9930383364359539,0.04997998112981689,2.0601730744043985,0.18498421142194682,0.10768380264441173,0.0011500714677962266,0.06844642013311386,0.001942463603936056,212.0,13.114877048604,527.4642333984375,2.7883134024271463,81.60856374104817,2.3593773777742997,2.3940924803415933,0.052658114255386766,2.939147472381592,0.0836109658993775,2.6994057496388755,0.037812894379679676,2.7018917401631675,0.06143349984850623,0.07513253639141719,0.0062575377166398044,0.04752113918463389,0.005138877282338158,888.0,13.114877048604,490.4046936035156,0.24191983298157033,59.80414581298828,0.6209479710802774,3.5685933430989585,0.016387982544225074,8.207671483357748,0.05460388112297568,3.7466790676116943,0.01605119406137548,6.05966059366862,0.03894814220249766,0.4429116149743398,0.00361858592374578,0.287136048078537,0.0020052402420766627
16,5421.0,0.0,2642.0,1000.0,69.66666666666667,12.503332889007366,862.4476253625118,14.195273429285903,85.0,58.94913061275798,7.2670180787331775,2.450709896080164,0.04061845193306605,0.001855171060782482,0.044238140185674034,0.0016845866828587,0.36602731545766193,0.00670813512804483,0.907084897649057,0.011126034102358457,15.992559115091959,0.7779782305420241,0.8599547707859,0.010734780511062154,0.8599547707859,0.010734780511062154,0.7793939393939393,0.010338619460140575,0.7793939393939393,0.010338619460140575,0.817672395993949,0.009123796415474054,0.10299901671583088,0.008547364135060818,0.8970009832841691,0.008547364135060865,1216.3333333333333,11.590225767142478,139.66666666666666,11.590225767142472,242.66666666666666,11.37248140615465,857.3333333333334,11.372481406154638,0.3790909090909091,0.04708880304170862,1216.3333333333333,11.590225767142478,933.9323323567709,0.22791626843608428,64.7878901163737,0.8253557016294693,2.0092287063598633,0.00958980156951118,2.2332445780436196,0.02332316735445226,1.731022795041402,0.015179733579938593,2.6626989046732583,0.02940718715258582,0.03733111172914505,0.001523751998517726,0.015341964860757193,0.0005054470763883366,139.66666666666666,11.590225767142472,938.7931111653646,2.162151034171221,69.7101058959961,6.712090250116921,2.6341189543406167,0.0905257888146453,2.2378226121266684,0.18563524904585102,2.1884919007619223,0.15759185270329465,2.4250705242156982,0.23544630594598645,0.1046390210588773,0.004887484400798226,0.06581247101227443,0.0013051348291474403,242.66666666666666,11.37248140615465,524.9574788411459,0.9816760675984433,80.08819325764973,1.2507412746595077,2.5541043281555176,0.1413224393076498,4.049250523249309,1.8840420571594958,2.798533837000529,0.10976706897269346,3.4008920987447104,1.2773080797639529,0.07297223061323166,0.004591521710554629,0.052319034934043884,0.009486888611785852,857.3333333333334,11.372481406154638,489.76806640625,0.23304145838663784,59.45271555582682,0.15209128350400566,3.5671262741088867,0.052142565958924296,8.171249389648438,0.32508607882138085,3.75736403465271,0.04279444016750825,6.028036594390869,0.24043053246061047,0.44904067118962604,0.012138209798533963,0.28826088706652325,0.0063756429579564025
24,5421.0,0.0,3442.0,1000.0,58.666666666666664,1.5275252316519474,877.5312823671284,7.625390759850038,92.66666666666667,54.720501947015556,1.7048313016171395,6.7988558217962325,0.042297406742970146,0.001049996203754139,0.04559478287895521,0.0011043442391081863,0.36704787611961365,0.0033390904067346185,0.9126374363100026,0.003899922252403083,17.15939712524414,4.108577665678358,0.8528583729774765,0.013233504030775193,0.8528583729774765,0.013233504030775193,0.787878787878788,0.00319262234934931,0.787878787878788,0.00319262234934931,0.8190550355094911,0.007099783784167517,0.11037364798426745,0.011432660721960159,0.8896263520157325,0.011432660721960183,1206.3333333333333,15.502687938977951,149.66666666666666,15.502687938977983,233.33333333333334,3.5118845842842465,866.6666666666666,3.5118845842842474,0.44606060606060605,0.03229939146029277,1206.3333333333333,15.502687938977951,934.0549723307291,0.6552951437722978,64.65682474772136,0.7187605527116325,2.0233972867329917,0.011257651591860391,2.279299020767212,0.012905972401073204,1.7447095314661663,0.0142477685504434,2.690868695576986,0.03185698067829696,0.038324370980262756,0.0009739154260401436,0.015460588037967682,0.00045926373365425883,149.66666666666666,15.502687938977983,937.8090209960938,5.977263353742209,69.93962860107422,4.872088968347733,2.472607453664144,0.04385908336603395,1.8611093759536743,0.13495212233205742,2.038406252861023,0.10353639543054599,2.175014535586039,0.31907379540448794,0.10458030551671982,0.00539190738416731,0.06662142525116603,0.0018537611570989317,233.33333333333334,3.5118845842842465,525.9351603190104,2.9823376821272793,81.0877202351888,1.1371002882779124,2.454689105351766,0.05352001573161261,2.9184188842773438,0.09926023307101126,2.7616707483927407,0.036035647611251984,2.6711477438608804,0.10605198118950977,0.0720838929216067,0.005175515138639718,0.04147771870096525,0.002937999659022566,866.6666666666666,3.5118845842842474,489.8671061197917,0.9473335086121182,59.26276397705078,0.46406297862053525,3.581413745880127,0.017179288522290812,8.29701042175293,0.01960783273580707,3.7557362715403237,0.012858735074879548,6.122885704040527,0.019057963271280707,0.44647181034088135,0.0048875188892638635,0.28940243522326153,8.041362637179877e-05
32,5421.0,0.0,4242.0,1000.0,67.33333333333333,24.131583730317686,875.0857516202059,28.435660848379285,73.66666666666667,65.85843403341241,6.515799201727646,17.65442688448751,0.040785091618696846,0.004494671951928398,0.04411910225947698,0.003535316134340191,0.3628798226515452,0.010129973823684656,0.904658867435416,0.007686510523583732,21.10235850016276,8.659914148338345,0.8449967082941349,0.022246553777686386,0.8449967082941349,0.022246553777686386,0.7824242424242424,0.02212536283184461,0.7824242424242424,0.02212536283184461,0.8121753829415703,0.009172220794184017,0.11701081612586038,0.02153005043229844,0.8829891838741396,0.021530050432298407,1197.3333333333333,29.19474838619666,158.66666666666666,29.19474838619668,239.33333333333334,24.337899115029085,860.6666666666666,24.337899115029096,0.40151515151515155,0.0538311818860657,1197.3333333333333,29.19474838619666,933.9612426757812,0.4909316950939877,64.83627319335938,0.3264473809620574,2.009344696998596,0.010611793815783055,2.2756644090016684,0.021584089057110782,1.7399259408315022,0.011250329773112362,2.6989780267079673,0.011527504285619586,0.03674301132559776,0.0037388835451739634,0.015079019280771414,0.001681728008272043,158.66666666666666,29.19474838619668,937.59521484375,3.3279616607960536,69.32268524169922,3.5587302959374627,2.559214194615682,0.042344564707300164,1.8662484884262085,0.2569872534664626,2.0593044757843018,0.06291494913621197,2.122580051422119,0.18735394913022338,0.10082728167374928,0.01238882585682563,0.062300516913334526,0.004198501673516058,239.33333333333334,24.337899115029085,525.5781453450521,2.339120270874172,80.91634368896484,1.7893376956848,2.539561669031779,0.19232073884686712,3.9742530981699624,1.7581939529851827,2.806093215942383,0.12378263841690096,3.4204930464426675,1.2291485151389325,0.07188462217648824,0.008758037873536507,0.0432845043639342,0.007968655754386244,860.6666666666666,24.337899115029096,489.7594807942708,0.4738989252849708,59.20197296142578,0.247564581769457,3.5648322900136313,0.055269990006424755,8.162999471028646,0.2754465797351923,3.7496085166931152,0.03607664904287439,6.01043160756429,0.21837843358401765,0.4439108073711395,0.01656204045066584,0.2852676808834076,0.001983325605146088
48,5421.0,0.0,6342.0,707.1067811865476,73.0,26.870057685088806,867.6967204700817,35.51075824528349,147.0,1.4142135623730951,-27.513393943041947,5.432098707008799,0.0414939783513546,0.0043683522607601225,0.04487871564924717,0.0037110853291228902,0.3662406802177429,0.0024693417074047705,0.9139407347814428,0.003134953837481047,8.9195556640625,5.581078936316826,0.8484786433964417,0.003802356094144407,0.8484786433964417,0.003802356094144407,0.8040909090909091,0.012213662584131315,0.8040909090909091,0.012213662584131315,0.82564874460142,0.004639078051668561,0.11651917404129794,0.005214651778661865,0.8834808259587021,0.005214651778661771,1198.0,7.0710678118654755,158.0,7.0710678118654755,215.5,13.435028842544403,884.5,13.435028842544403,0.43454545454545457,0.07971021897011993,1198.0,7.0710678118654755,934.1456909179688,0.5228205290096336,63.89431190490723,0.4514338828758217,1.9957930445671082,0.01766231121806632,2.252405285835266,0.027374040933037587,1.7319097518920898,0.0199506322111168,2.6872825622558594,0.043773379688626456,0.03762809932231903,0.0030057235749786633,0.014323529321700335,0.0004181724698464868,158.0,7.0710678118654755,936.4783935546875,3.8602575034454074,75.45685195922852,3.5210165082568574,2.6590354442596436,0.10423859726150739,2.0626677870750427,0.19804138195062634,2.117605686187744,0.13401045670002676,2.213819205760956,0.40280324748370877,0.09978169202804565,0.006277720402137027,0.06148902326822281,0.0021594780771526773,215.5,13.435028842544403,529.0814514160156,4.143851171608055,81.19924926757812,0.973081043622912,2.4910935163497925,0.16764886802093554,3.4098294973373413,0.5644260433982538,2.7230255603790283,0.14227461075604286,2.9350913763046265,0.26199273395123734,0.06531611457467079,0.0003090364983500666,0.03660378232598305,0.0029374351436788873,884.5,13.435028842544403,489.87266540527344,0.4140830085506793,59.51933670043945,0.40090352043392874,3.5482550859451294,0.024788247483197214,8.17582082748413,0.0017148709722112564,3.7437838315963745,0.01915911439608221,6.041508674621582,0.008688319939429739,0.43957504630088806,0.0025385046858111475,0.2849735915660858,0.0007599919723484411
64,5421.0,0.0,7442.0,1000.0,57.0,9.848857801796104,893.66142504143,14.908396485524474,99.66666666666667,85.44783984006462,34.860415262558334,136.14520136326738,0.04323407386740049,0.0014013914840216518,0.046100067595640816,0.0013240501867273127,0.36704492568969727,0.003406190102075762,0.80402811298829,0.1890788791484225,68.82216389973958,118.64941395336275,0.8648582356736414,0.046921744363022655,0.8648582356736414,0.046921744363022655,0.6593939393939393,0.25288473402962497,0.6593939393939393,0.25288473402962497,0.7226812897354136,0.17096459321655122,0.09292035398230088,0.05921328367594639,0.9070796460176992,0.05921328367594635,1230.0,80.2932126645833,126.0,80.2932126645833,374.6666666666667,278.1732074325875,725.3333333333334,278.17320743258745,0.3884848484848485,0.09276440136054138,1230.0,80.2932126645833,934.5201619466146,0.10345841272242648,64.42180760701497,1.0447814482478865,2.021477460861206,0.045127025297311586,2.2628018856048584,0.0035610567950031488,1.7467111349105835,0.02901772421495976,2.6773831049601235,0.009995084905597827,0.039760698874791466,0.00268607234853359,0.01834234440078338,0.005413641876870767,126.0,80.2932126645833,932.2814127604166,3.237897125587689,68.15592193603516,12.242078267128239,2.4526685078938804,0.26214447867685,1.8159488042195637,0.32540831311014634,1.9716432094573975,0.22283524635263433,2.0678279399871826,0.4204937754456514,0.11775035907824834,0.026254273140168066,0.07107416292031606,0.014450993892344822,374.6666666666667,278.1732074325875,519.9997762044271,13.20994498529516,77.7203369140625,7.013746471762389,2.5872947374979653,0.38554111620621573,4.0871818860371905,2.069176279271165,2.8693974018096924,0.35080481080461245,3.457725922266642,1.4143766250803793,0.13114446898301443,0.10968107271424477,0.1095984789232413,0.1245719085567971,725.3333333333334,278.17320743258745,488.4222920735677,3.3075953857256026,58.9318962097168,1.2929372830184518,3.67974321047465,0.17572774709707367,8.474863688151041,0.4477478666091145,3.841866890589396,0.14734406387279989,6.1594923337300616,0.16432609518815586,0.47896941502888996,0.07082869731274262,0.2804135779539744,0.00654774344223497
